"date","value"
"2000-01-01",2.75
"2000-02-01",2.871
"2000-03-01",2.928
"2000-04-01",2.953
"2000-05-01",3.006
"2000-06-01",3.132
"2000-07-01",3.168
"2000-08-01",3.2
"2000-09-01",3.209
"2000-10-01",3.069
"2000-11-01",3.053
"2000-12-01",3.028
"2001-01-01",2.994
"2001-02-01",3.065
"2001-03-01",3.159
"2001-04-01",3.114
"2001-05-01",3.256
"2001-06-01",3.253
"2001-07-01",3.324
"2001-08-01",3.468
"2001-09-01",3.487
"2001-10-01",3.338
"2001-11-01",3.297
"2001-12-01",3.3
"2002-01-01",3.271
"2002-02-01",3.317
"2002-03-01",3.266
"2002-04-01",3.257
"2002-05-01",3.182
"2002-06-01",3.193
"2002-07-01",3.231
"2002-08-01",3.269
"2002-09-01",3.155
"2002-10-01",3.24
"2002-11-01",3.211
"2002-12-01",3.242
"2003-01-01",3.195
"2003-02-01",3.281
"2003-03-01",3.216
"2003-04-01",3.287
"2003-05-01",3.086
"2003-06-01",3.136
"2003-07-01",3.155
"2003-08-01",3.229
"2003-09-01",3.219
"2003-10-01",3.161
"2003-11-01",3.228
"2003-12-01",3.182
"2004-01-01",3.157
"2004-02-01",3.189
"2004-03-01",3.129
"2004-04-01",3.196
"2004-05-01",3.33
"2004-06-01",3.42
"2004-07-01",3.47
"2004-08-01",3.622
"2004-09-01",3.589
"2004-10-01",3.606
"2004-11-01",3.438
"2004-12-01",3.369
"2005-01-01",3.367
"2005-02-01",3.395
"2005-03-01",3.355
"2005-04-01",3.331
"2005-05-01",3.56
"2005-06-01",3.457
"2005-07-01",3.478
"2005-08-01",3.442
"2005-09-01",3.404
"2005-10-01",3.327
"2005-11-01",3.262
"2005-12-01",3.327
"2006-01-01",3.364
"2006-02-01",3.385
"2006-03-01",3.396
"2006-04-01",3.343
"2006-05-01",3.309
"2006-06-01",3.399
"2006-07-01",3.508
"2006-08-01",3.559
"2006-09-01",3.552
"2006-10-01",3.61
"2006-11-01",3.444
"2006-12-01",3.458
"2007-01-01",3.51
"2007-02-01",3.566
"2007-03-01",3.464
"2007-04-01",3.496
"2007-05-01",3.651
"2007-06-01",3.657
"2007-07-01",3.723
"2007-08-01",3.798
"2007-09-01",3.784
"2007-10-01",3.883
"2007-11-01",3.656
"2007-12-01",3.688
"2008-01-01",3.652
"2008-02-01",3.62
"2008-03-01",3.623
"2008-04-01",3.554
"2008-05-01",3.637
"2008-06-01",3.655
"2008-07-01",3.605
"2008-08-01",3.842
"2008-09-01",3.725
"2008-10-01",3.745
"2008-11-01",3.597
"2008-12-01",3.67
"2009-01-01",3.73
"2009-02-01",3.62
"2009-03-01",3.59
"2009-04-01",3.581
"2009-05-01",3.663
"2009-06-01",3.621
"2009-07-01",3.64
"2009-08-01",3.588
"2009-09-01",3.592
"2009-10-01",3.603
"2009-11-01",3.498
"2009-12-01",3.57
"2010-01-01",3.63
"2010-02-01",3.642
"2010-03-01",3.669
"2010-04-01",3.643
"2010-05-01",3.862
"2010-06-01",4.046
"2010-07-01",4.213
"2010-08-01",4.353
"2010-09-01",4.574
"2010-10-01",4.773
"2010-11-01",4.697
"2010-12-01",4.16
"2011-01-01",4.25
"2011-02-01",4.366
"2011-03-01",4.537
"2011-04-01",4.662
"2011-05-01",4.77
"2011-06-01",4.84
"2011-07-01",4.755
"2011-08-01",4.77
"2011-09-01",4.819
"2011-10-01",4.586
"2011-11-01",4.637
"2011-12-01",4.55
"2012-01-01",4.571
"2012-02-01",4.655
"2012-03-01",4.6
"2012-04-01",4.533
"2012-05-01",4.385
"2012-06-01",4.326
"2012-07-01",4.365
"2012-08-01",4.609
"2012-09-01",4.692
"2012-10-01",4.661
"2012-11-01",4.64
"2012-12-01",4.639
"2013-01-01",4.722
"2013-02-01",4.831
"2013-03-01",4.909
"2013-04-01",4.887
"2013-05-01",5.092
"2013-06-01",5.334
"2013-07-01",5.494
"2013-08-01",5.618
"2013-09-01",5.68
"2013-10-01",5.708
"2013-11-01",5.615
"2013-12-01",5.544
"2014-01-01",5.563
"2014-02-01",5.461
"2014-03-01",5.552
"2014-04-01",5.69
"2014-05-01",6.048
"2014-06-01",6.106
"2014-07-01",6.009
"2014-08-01",6.068
"2014-09-01",5.953
"2014-10-01",5.759
"2014-11-01",5.574
"2014-12-01",5.531
"2015-01-01",5.589
"2015-02-01",5.472
"2015-03-01",5.367
"2015-04-01",5.211
"2015-05-01",4.94
"2015-06-01",5.059
"2015-07-01",5.184
"2015-08-01",5.41
"2015-09-01",5.734
"2015-10-01",5.899
"2015-11-01",5.847
"2015-12-01",5.734
"2016-01-01",5.656
"2016-02-01",5.394
"2016-03-01",5.494
"2016-04-01",5.613
"2016-05-01",5.552
"2016-06-01",5.374
"2016-07-01",5.454
"2016-08-01",5.448
"2016-09-01",5.481
"2016-10-01",5.375
"2016-11-01",5.106
"2016-12-01",5.102
"2017-01-01",5.18
"2017-02-01",5.334
"2017-03-01",5.745
"2017-04-01",5.775
"2017-05-01",5.699
"2017-06-01",5.665
"2017-07-01",5.819
"2017-08-01",6.241
"2017-09-01",6.366
"2017-10-01",6.066
"2017-11-01",5.708
"2017-12-01",5.629
"2018-01-01",5.654
"2018-02-01",5.533
"2018-03-01",5.527
"2018-04-01",5.421
"2018-05-01",5.452
"2018-06-01",5.247
"2018-07-01",5.418
"2018-08-01",5.577
"2018-09-01",5.501
"2018-10-01",5.37
"2018-11-01",5.392
"2018-12-01",5.502
"2019-01-01",5.518
"2019-02-01",5.502
"2019-03-01",5.608
"2019-04-01",5.552
"2019-05-01",5.812
"2019-06-01",5.878
"2019-07-01",5.701
"2019-08-01",5.576
"2019-09-01",5.571
"2019-10-01",5.653
"2019-11-01",5.505
"2019-12-01",5.474
"2020-01-01",5.505
"2020-02-01",5.497
"2020-03-01",5.257
"2020-04-01",5.346
"2020-05-01",5.348
"2020-06-01",5.772
"2020-07-01",5.776
"2020-08-01",5.559
"2020-09-01",5.619
"2020-10-01",5.722
"2020-11-01",5.754
"2020-12-01",5.831
"2021-01-01",5.831
"2021-02-01",5.778
"2021-03-01",5.852
"2021-04-01",6.215
"2021-05-01",6.346
