"date","value"
"2018-04-01",4.153
"2018-05-01",4.112
"2018-06-01",4.064
"2018-07-01",4.11
"2018-08-01",4.085
"2018-09-01",4.119
"2018-10-01",4.111
"2018-11-01",3.953
"2018-12-01",3.931
"2019-01-01",4.055
"2019-02-01",4.154
"2019-03-01",4.261
"2019-04-01",4.019
"2019-05-01",4.111
"2019-06-01",3.921
"2019-07-01",3.977
"2019-08-01",4.036
"2019-09-01",3.954
"2019-10-01",3.979
"2019-11-01",3.713
"2019-12-01",3.624
"2020-01-01",3.864
"2020-02-01",3.762
"2020-03-01",3.857
"2020-04-01",3.725
"2020-05-01",3.535
"2020-06-01",3.491
"2020-07-01",3.572
"2020-08-01",3.623
"2020-09-01",3.57
"2020-10-01",3.586
"2020-11-01",3.325
"2020-12-01",3.533
"2021-01-01",3.644
"2021-02-01",3.661
"2021-03-01",3.643
"2021-04-01",3.521
"2021-05-01",3.561
"2021-06-01",3.585
"2021-07-01",3.599
"2021-08-01",3.634
"2021-09-01",3.568
"2021-10-01",3.652
"2021-11-01",3.477
"2021-12-01",3.474
"2022-01-01",3.672
"2022-02-01",3.774
"2022-03-01",4.076
"2022-04-01",4.15
"2022-05-01",4.285
"2022-06-01",4.386
"2022-07-01",4.552
"2022-08-01",4.699
"2022-09-01",4.718
"2022-10-01",4.847
"2022-11-01",4.639
"2022-12-01",4.811
"2023-01-01",4.882
"2023-02-01",4.869
"2023-03-01",4.663
"2023-04-01",4.452
"2023-05-01",4.549
"2023-06-01",4.452
"2023-07-01",4.465
"2023-08-01",4.411
"2023-09-01",4.407
"2023-10-01",4.55
"2023-11-01",4.52
"2023-12-01",4.505
"2024-01-01",4.659
"2024-02-01",4.634
"2024-03-01",4.484
"2024-04-01",4.629
"2024-05-01",4.589
"2024-06-01",4.696
"2024-07-01",4.897
"2024-08-01",4.796
"2024-09-01",5.004
"2024-10-01",4.937
"2024-11-01",4.794
"2024-12-01",4.728
"2025-01-01",4.912
"2025-02-01",4.869
"2025-03-01",4.816
"2025-04-01",4.78
"2025-05-01",4.952
"2025-06-01",4.872
"2025-07-01",4.797
"2025-08-01",4.828
"2025-09-01",4.787
"2025-11-01",4.31
"2025-12-01",4.408
"2026-01-01",4.383
"2026-02-01",4.314
"2026-03-01",4.258
"2026-04-01",4.216
"2026-05-01",3.929
"2026-06-01",3.816
