"date","value"
"2000-01-01",3.54
"2000-02-01",3.677
"2000-03-01",3.633
"2000-04-01",3.584
"2000-05-01",3.531
"2000-06-01",3.431
"2000-07-01",3.446
"2000-08-01",3.444
"2000-09-01",3.339
"2000-10-01",3.317
"2000-11-01",3.243
"2000-12-01",3.212
"2001-01-01",3.224
"2001-02-01",3.217
"2001-03-01",3.205
"2001-04-01",3.128
"2001-05-01",3.097
"2001-06-01",3.156
"2001-07-01",3.097
"2001-08-01",3.046
"2001-09-01",3.025
"2001-10-01",3.015
"2001-11-01",2.988
"2001-12-01",2.913
"2002-01-01",2.936
"2002-02-01",2.946
"2002-03-01",2.859
"2002-04-01",2.976
"2002-05-01",3.011
"2002-06-01",2.938
"2002-07-01",2.977
"2002-08-01",2.929
"2002-09-01",2.921
"2002-10-01",2.872
"2002-11-01",2.882
"2002-12-01",2.838
"2003-01-01",2.999
"2003-02-01",2.924
"2003-03-01",2.933
"2003-04-01",3.008
"2003-05-01",2.937
"2003-06-01",2.931
"2003-07-01",2.944
"2003-08-01",2.921
"2003-09-01",2.919
"2003-10-01",2.825
"2003-11-01",2.779
"2003-12-01",2.875
"2004-01-01",2.892
"2004-02-01",2.856
"2004-03-01",2.932
"2004-04-01",2.908
"2004-05-01",2.831
"2004-06-01",2.75
"2004-07-01",2.878
"2004-08-01",2.878
"2004-09-01",2.874
"2004-10-01",2.84
"2004-11-01",2.778
"2004-12-01",2.776
"2005-01-01",3.049
"2005-02-01",2.94
"2005-03-01",3.009
"2005-04-01",3.24
"2005-05-01",3.329
"2005-06-01",3.416
"2005-07-01",3.334
"2005-08-01",3.482
"2005-09-01",3.376
"2005-10-01",3.447
"2005-11-01",3.293
"2005-12-01",3.235
"2006-01-01",3.232
"2006-02-01",3.174
"2006-03-01",3.301
"2006-04-01",3.292
"2006-05-01",3.349
"2006-06-01",3.158
"2006-07-01",3.154
"2006-08-01",3.196
"2006-09-01",3.173
"2006-10-01",3.138
"2006-11-01",3.158
"2006-12-01",3.113
"2007-01-01",3.288
"2007-02-01",3.456
"2007-03-01",3.475
"2007-04-01",3.437
"2007-05-01",3.308
"2007-06-01",3.407
"2007-07-01",3.529
"2007-08-01",3.497
"2007-11-01",3.607
"2007-12-01",3.685
"2009-12-01",3.669
"2010-01-01",3.811
"2010-02-01",3.736
"2010-03-01",3.565
"2010-04-01",3.641
"2010-05-01",3.664
"2010-06-01",3.697
"2010-07-01",3.857
"2010-08-01",3.935
"2010-09-01",4.174
"2010-10-01",4.175
"2010-11-01",4.467
"2010-12-01",4.146
"2011-01-01",4.417
"2011-02-01",4.218
"2011-03-01",4.642
