"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2015-01-01",854,1232,899,829,1722,1228,1306,1090,1950,1203,977,2003,860,1369,800,853,870,841,1048,1309,1385,1767,854,1132,851,838,810,865,985,1143,1541,846,2162,954,NA,810,871,1060,1084,1080,961,NA,982,1097,972,NA,1372,1250,991,993,932
"2015-02-01",845,1233,907,833,1732,1242,1307,1094,1961,1209,979,2015,888,1386,808,853,873,849,1050,1310,1385,1709,860,1135,853,841,824,868,990,1151,1547,844,2165,956,NA,814,871,1068,1086,1087,964,NA,985,1100,973,NA,1376,1257,1007,987,930
"2015-03-01",858,1238,911,840,1745,1248,1304,1105,1965,1214,982,2030,865,1376,810,851,876,855,1048,1299,1386,1717,863,1139,853,843,834,873,995,1163,1555,846,2179,960,NA,819,874,1079,1089,1097,967,NA,990,1104,983,NA,1379,1266,1009,994,930
"2015-04-01",847,1234,918,820,1757,1242,1307,1113,1983,1220,987,2031,865,1380,811,850,880,857,1058,1313,1389,1724,865,1142,853,845,842,871,998,1167,1558,849,2188,966,NA,823,876,1087,1092,1101,966,NA,992,1108,985,NA,1378,1270,1006,998,936
"2015-05-01",849,1234,919,821,1767,1244,1308,1113,1991,1226,990,2039,871,1385,813,855,882,854,1055,1313,1391,1730,868,1148,850,846,845,873,1002,1176,1560,852,2191,970,NA,825,877,1096,1100,1104,971,NA,994,1111,988,NA,1379,1274,1001,1004,944
"2015-06-01",854,1232,924,824,1775,1253,1305,1107,1994,1231,997,2038,873,1388,813,859,882,855,1061,1337,1393,1736,875,1151,850,847,840,873,1005,1170,1559,852,2197,972,NA,826,878,1102,1096,1112,974,NA,997,1110,989,NA,1379,1280,997,1005,941
"2015-07-01",864,1233,926,824,1786,1259,1310,1103,1991,1237,1000,2048,878,1391,810,862,883,854,1063,1342,1396,1742,878,1156,850,850,839,879,1009,1173,1564,853,2205,975,NA,828,881,1112,1099,1107,979,NA,1001,1114,993,NA,1381,1289,1000,1007,949
"2015-08-01",867,1228,929,825,1798,1268,1318,1107,1982,1242,1004,2053,880,1395,815,860,886,856,1066,1358,1397,1749,881,1158,858,852,840,882,1013,1180,1566,854,2215,977,NA,831,885,1123,1101,1109,982,NA,1004,1118,994,NA,1383,1299,1006,1010,947
"2015-09-01",865,1226,934,829,1807,1274,1323,1108,1993,1248,1008,2058,886,1398,819,861,887,857,1069,1353,1401,1757,885,1163,857,854,845,882,1019,1182,1575,856,2225,982,NA,835,886,1136,1105,1117,985,NA,1007,1122,999,NA,1387,1308,1007,1014,951
"2015-10-01",873,1225,939,831,1817,1283,1325,1111,2002,1254,1013,2064,889,1402,820,860,889,859,1068,1364,1405,1769,887,1148,863,856,854,880,1023,1184,1582,860,2233,986,NA,839,885,1145,1098,1133,989,NA,1011,1125,1006,NA,1390,1318,1009,1019,945
