"date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"2015-01-01",40.4,45.7,39.1,42.7,61.2,46.1,45.8,49.4,49.2,53.9,40.9,81.6,39.1,53,34.8,38.9,38.6,39.7,47.4,59.7,50.1,57.9,35.8,43.4,44.2,38.3,37.5,39.3,45.6,46.4,55.7,41.3,75.1,43.4,NA,35.8,39.9,45.4,45.3,42.8,44.3,NA,47.3,45,40.2,NA,53.2,42.3,47.4,42.1,40.1
"2015-02-01",39.6,45.6,39.3,42.8,61.3,46.4,44.9,48.6,48.4,53.7,40.7,81.8,40.2,52.9,35.3,38.6,38.5,39.9,47.4,59.5,49.9,55.9,35.9,43.5,43.7,38.1,38.1,39.4,45.2,46.2,55,41.1,74.4,42.9,NA,35.8,39.7,45.8,45.1,42.5,45.1,NA,46.9,44.8,40.2,NA,52.3,42.5,48.2,41.8,40
"2015-03-01",40.4,45.2,39.5,42.8,62.1,46.5,44.9,49,48.4,54.1,41,82.4,39.8,52.8,35.6,38.3,38.9,40.4,47,58.8,49.9,56.5,36.1,43.3,43.3,38.3,38.8,39.5,45.3,46.9,55.3,41.1,75,43.8,NA,36,39.9,46.2,44.9,43,44.5,NA,47.5,45.1,40.6,NA,52.6,42.8,48.5,42.2,39.9
"2015-04-01",40,43.9,39.7,42.3,62.7,46.3,45.5,50,50.9,54.4,41.7,82.5,39.6,53.4,35.7,38.1,39.4,40.6,47.5,59.8,50.8,57,36.4,44,43.7,38.7,39.1,39.8,45.7,46.5,56.6,41.7,75.7,43.9,NA,36.3,40.2,46.6,45.3,43.8,45.5,NA,47.9,45.6,40.6,NA,52.9,43.2,48.6,42.4,40.3
"2015-05-01",40.2,44.3,39.9,42.3,63,46.4,45.6,50.3,52.1,54.5,42.1,82.7,39.8,53.7,35.9,38.1,39.4,40.5,48,60.6,51.2,57.5,36.7,44.5,43.9,38.3,39.1,39.9,46,47.2,56.5,41.6,76.6,44,NA,36.5,40.2,46.9,45.7,44.1,46.2,NA,48.1,45.8,41.2,NA,53.2,43.3,48.5,42.9,41
"2015-06-01",40.4,44.4,40.2,42.7,63.5,47.4,45.4,50.1,52,54.9,42.7,83.3,40.2,54,35.9,38.7,39.7,40.8,48.4,62.3,51.6,58.2,37.2,44.8,44,38.7,39,40.2,46.2,47.5,56.5,42.2,77,44.2,NA,36.8,40.6,47.3,45.5,46.1,46.4,NA,48.2,45.9,41.5,NA,53.5,43.9,48.4,43.5,41.6
"2015-07-01",40.7,44.3,40.2,42.5,63.8,47,45.5,49.9,52.8,54.9,42.6,83.7,40.6,53.9,35.6,38.7,39.4,40.4,48.5,62.7,51.8,58.4,36.8,44.8,43.5,38.8,39.1,40.2,46.1,47.8,57,42,77.3,44.1,NA,36.7,40.7,47.7,45.5,45.6,46,NA,48.1,46.2,41.2,NA,53.5,44.2,48.3,43.6,41.8
"2015-08-01",40.5,43.7,39.7,42.1,63.8,47,44.9,48.8,52.1,54.5,42.3,83.6,40,53.5,35.5,37.6,39.2,40.5,47.9,63,50.9,58,36.4,44.6,43.6,38.8,38.7,39.3,45.8,48.1,56.5,41.9,76.8,43.4,NA,36.4,40.5,47.9,45.4,45.6,46.1,NA,48,45.6,40.8,NA,52.5,44.1,48.2,43.4,41.2
"2015-09-01",40.2,43.9,40.1,42.5,64.6,47.5,44.9,48.4,53.2,54.7,42.7,84,40.6,53.7,35.7,37.6,39.2,40.7,48.3,62,51.2,57.9,36.6,44.7,43.6,38.9,38.9,39.2,46.1,47.5,56.7,41.8,77.5,43.9,NA,36.4,40.6,48.2,45.3,45.3,45.8,NA,48,46.1,40.7,NA,52.8,43.9,48.2,43.4,41
"2015-10-01",40.5,43,40.2,42.5,64.4,47.4,44.9,47.6,55.4,55,42.4,83.4,40.3,53.6,35.8,36.9,39.3,41.1,47.9,62,51.4,57.6,36.6,43.5,44,39,39,39.4,46.2,47,56.9,42.1,77.5,43.8,NA,36.8,40.6,48.1,45.1,45.1,45.9,NA,48.1,45.9,40.8,NA,52.7,43.9,48.3,43.2,40.5
"2015-11-01",40.3,42.9,40.3,42.3,64.1,47.2,44.5,47.2,53.7,54.9,42.2,83.4,40.2,53.1,35.7,38.4,39,41.3,47.4,61.8,50.7,57.2,36.6,43.9,43.2,38.9,38.7,39,46.3,46.9,56.3,41.9,76.4,43.3,NA,36.6,40.3,48,44.7,45,45.6,NA,48,45.9,40.6,NA,52.4,43.4,48.1,42.8,40.7
"2015-12-01",40.4,43.2,40.8,42.4,64.8,47.9,44.7,48.4,54.5,55.3,42.8,83,40.3,53.7,35.9,38.4,39,41.4,47.6,61.6,51.4,57.7,36.8,43.9,43.7,39.1,39.3,39.5,46.8,47.8,57,42.4,77.2,43.5,NA,36.7,41,48,45.1,45.7,45.7,NA,48.4,46.5,41.6,NA,53,43.7,48.5,42.4,42.6
"2016-01-01",40.1,44.2,40.7,41.8,64.6,47.4,44.1,47,55.2,55.9,42.4,82.8,40.1,53,35.5,38.4,39.4,41,47.7,61.6,50.9,57,37,43.5,43.6,39.1,39.5,38.9,46.5,47,56.9,42,75.8,43,NA,36.5,41.1,47.9,44.6,44.4,45.4,40,47.9,46.1,41.4,NA,52.3,43.5,47.9,42.1,43.2
