"date","value"
"2000-01-01",0.712
"2000-02-01",0.714
"2000-03-01",0.712
"2000-04-01",0.721
"2000-05-01",0.73
"2000-06-01",0.781
"2000-07-01",0.813
"2000-08-01",0.808
"2000-09-01",0.851
"2000-10-01",0.903
"2000-11-01",0.919
"2000-12-01",0.977
"2001-01-01",1.15
"2001-02-01",1.12
"2001-03-01",1.078
"2001-04-01",1.05
"2001-05-01",1.02
"2001-06-01",0.937
"2001-07-01",0.888
"2001-08-01",0.854
"2001-09-01",0.811
"2001-10-01",0.763
"2001-11-01",0.799
"2001-12-01",0.787
"2002-01-01",0.789
"2002-02-01",0.757
"2002-03-01",0.755
"2002-04-01",0.773
"2002-05-01",0.772
"2002-06-01",0.771
"2002-07-01",0.772
"2002-08-01",0.768
"2002-09-01",0.776
"2002-10-01",0.801
"2002-11-01",0.843
"2002-12-01",0.847
"2003-01-01",0.881
"2003-02-01",0.902
"2003-03-01",1.028
"2003-04-01",0.988
"2003-05-01",0.966
"2003-06-01",0.992
"2003-07-01",0.986
"2003-08-01",0.969
"2003-09-01",0.974
"2003-10-01",0.966
"2003-11-01",0.978
"2003-12-01",0.991
"2004-01-01",1.029
"2004-02-01",1.021
"2004-03-01",0.992
"2004-04-01",0.998
"2004-05-01",1.006
"2004-06-01",1.047
"2004-07-01",1.058
"2004-08-01",1.063
"2004-09-01",1.034
"2004-10-01",1.044
"2004-11-01",1.145
"2004-12-01",1.154
"2005-01-01",1.142
"2005-02-01",1.111
"2005-03-01",1.096
"2005-04-01",1.158
"2005-05-01",1.152
"2005-06-01",1.124
"2005-07-01",1.168
"2005-08-01",1.189
"2005-09-01",1.324
"2005-10-01",1.512
"2005-11-01",1.548
"2005-12-01",1.498
"2006-01-01",1.531
"2006-02-01",1.402
"2006-03-01",1.335
"2006-04-01",1.278
"2006-05-01",1.263
"2006-06-01",1.21
"2006-07-01",1.213
"2006-08-01",1.22
"2006-09-01",1.239
"2006-10-01",1.148
"2006-11-01",1.252
"2006-12-01",1.285
"2007-01-01",1.265
"2007-02-01",1.267
"2007-03-01",1.291
"2007-04-01",1.284
"2007-05-01",1.288
"2007-06-01",1.299
"2007-07-01",1.279
