"date","value"
"2015-01-01",1170
"2015-02-01",1175
"2015-03-01",1181
"2015-04-01",1186
"2015-05-01",1190
"2015-06-01",1194
"2015-07-01",1198
"2015-08-01",1203
"2015-09-01",1209
"2015-10-01",1214
"2015-11-01",1219
"2015-12-01",1223
"2016-01-01",1227
"2016-02-01",1230
"2016-03-01",1231
"2016-04-01",1235
"2016-05-01",1239
"2016-06-01",1243
"2016-07-01",1247
"2016-08-01",1251
"2016-09-01",1254
"2016-10-01",1258
"2016-11-01",1262
"2016-12-01",1265
"2017-01-01",1270
"2017-02-01",1275
"2017-03-01",1282
"2017-04-01",1287
"2017-05-01",1292
"2017-06-01",1296
"2017-07-01",1300
"2017-08-01",1303
"2017-09-01",1308
"2017-10-01",1311
"2017-11-01",1316
"2017-12-01",1320
"2018-01-01",1325
"2018-02-01",1331
"2018-03-01",1335
"2018-04-01",1339
"2018-05-01",1343
"2018-06-01",1347
"2018-07-01",1351
"2018-08-01",1357
"2018-09-01",1361
"2018-10-01",1366
"2018-11-01",1372
"2018-12-01",1377
"2019-01-01",1381
"2019-02-01",1384
"2019-03-01",1388
"2019-04-01",1393
"2019-05-01",1399
"2019-06-01",1404
"2019-07-01",1409
"2019-08-01",1413
"2019-09-01",1419
"2019-10-01",1423
"2019-11-01",1427
"2019-12-01",1431
"2020-01-01",1436
"2020-02-01",1442
"2020-03-01",1446
"2020-04-01",1444
"2020-05-01",1441
"2020-06-01",1437
"2020-07-01",1438
"2020-08-01",1439
"2020-09-01",1440
"2020-10-01",1443
"2020-11-01",1449
"2020-12-01",1456
"2021-01-01",1466
"2021-02-01",1477
"2021-03-01",1489
"2021-04-01",1504
"2021-05-01",1524
"2021-06-01",1547
"2021-07-01",1571
"2021-08-01",1596
"2021-09-01",1622
"2021-10-01",1644
"2021-11-01",1663
"2021-12-01",1680
"2022-01-01",1693
"2022-02-01",1707
"2022-03-01",1718
"2022-04-01",1733
"2022-05-01",1747
"2022-06-01",1761
"2022-07-01",1771
"2022-08-01",1778
"2022-09-01",1783
"2022-10-01",1788
"2022-11-01",1792
"2022-12-01",1797
"2023-01-01",1803
"2023-02-01",1808
"2023-03-01",1816
"2023-04-01",1821
"2023-05-01",1825
"2023-06-01",1826
"2023-07-01",1829
"2023-08-01",1833
"2023-09-01",1836
"2023-10-01",1841
"2023-11-01",1845
"2023-12-01",1851
"2024-01-01",1856
"2024-02-01",1861
"2024-03-01",1866
"2024-04-01",1870
"2024-05-01",1874
"2024-06-01",1879
"2024-07-01",1883
"2024-08-01",1887
"2024-09-01",1891
"2024-10-01",1894
"2024-11-01",1900
"2024-12-01",1904
"2025-01-01",1910
"2025-02-01",1914
"2025-03-01",1918
"2025-04-01",1921
"2025-05-01",1922
"2025-06-01",1924
"2025-07-01",1927
"2025-08-01",1932
"2025-09-01",1936
"2025-10-01",1940
"2025-11-01",1942
"2025-12-01",1945
"2026-01-01",1946
"2026-02-01",1948
"2026-03-01",1951
"2026-04-01",1955
"2026-05-01",1960
"2026-06-01",1965
